method,smoothing,parameter,RMSE_n_saccades,RMSE_mean_sacc_dur,RMSE_sd_sacc_dur,mean_error_n_saccades,mean_error_mean_sacc_dur,mean_error_sd_sacc_dur
IVT,raw,vel_25,6.147064971756054,163.6757006880283,85.78493452691934,5.029126213592232,42.70615054800056,40.612206491211424
IVT,raw,vel_30,6.2922359308681965,156.92384122399218,73.36575006844603,5.194174757281553,26.202685106977334,23.778760646250856
IVT,sg,vel_20,2.302383737300628,164.32490102422787,79.07467930549738,0.5922330097087394,52.48929408507978,36.337979749931485
IVT,sg,vel_25,2.3389899072907023,161.44115533249916,73.96674578963139,0.04368932038834738,41.57831227381054,25.27028252447845
IVT,sg,vel_30,2.4692280936844986,158.7822558686547,72.83701389130073,-0.5533980582524277,32.418313074830444,20.14599391760414
IVT,sg,vel_35,2.882824936004699,157.5307648430127,72.16382292342911,-1.2135922330097102,26.33433354488966,13.951629563691887
IVT,sg,vel_40,3.2148019311165448,155.53496885030285,48.87016900855452,-1.6747572815533966,18.25614543711545,11.67666143553086
IVT,sg,vel_45,3.6893970354838292,155.9527409575918,35.79865915942861,-2.320388349514565,14.488674217844205,10.325998821022424
IVT,sg,vel_50,4.110134290202104,157.97686798286304,31.99992626057452,-2.8737864077669912,10.720836787875976,9.225073889726872
IVT,sg,vel_55,4.490551028959509,159.45960783975605,30.380592538530557,-3.2912621359223335,6.286852080227658,7.83885951085828
IVT,sg,vel_60,4.798867180240794,161.9134657272952,28.73374979501142,-3.7281553398058267,5.806346610507296,6.005881396595438
IVT,sg,vel_65,5.07037847345518,30.742515613222388,29.23805819413307,-4.087378640776696,17.18715842333698,4.098860417644075
IVT,sg,vel_70,5.288749737547407,30.828040778378508,28.76357188917768,-4.40776699029126,16.0295990324493,2.7868444034601874
